,molecule_chembl_id,smiles,processed smiles,unique_char_ohe_matrix,pIC50
1576,CHEMBL3643119,CCc1ncnc(-c2ccc(C(=O)N3CCNCC3)c(F)c2)c1C#Cc1ccc(N)nc1,,,7.244125144
1577,CHEMBL3408269,COCCNC(=O)c1cc(C(C)Nc2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1,,,7.244125144
1578,CHEMBL1092120,Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(-c3ccc(C(=O)N4CC5CCC(C4)O5)cc3)ccnc21,,,7.244125144
1579,CHEMBL3693696,O=C(O)c1cc(-c2cccc3ccccc23)c2nc(N3CCOCC3)nc(-c3cccc(O)c3)c2n1,,,7.244125144
1580,CHEMBL3940735,CS(=O)(=O)N1CCN(Cc2csc3c(-c4cccc5[nH]ncc45)nc(N4CCOCC4)nc23)CC1,,,7.244125144
1581,CHEMBL2381268,CC(C)n1ncnc1-c1nc2c(s1)CCOc1cc(C3CCNCC3)ccc1-2,,,7.244125144
1582,CHEMBL3643176,CCc1ncnc(-c2ccc(C(=O)N3CC[C@H](O)C3)c(F)c2)c1C#Cc1ccc(N)nc1,,,7.244125144
1583,CHEMBL3643417,COc1ncc(N2CCc3ncnc(N[C@H]4CCN(C(=O)C5CCOC(C)(C)C5)C4)c3C2)cc1C(F)(F)F,,,7.244125144
1584,CHEMBL3645982,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCCC4O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,,,7.243211801
1585,CHEMBL4280989,COc1ncc(-c2ccc3nccc(=O)n3c2)cc1NS(=O)(=O)c1ccc(C#N)cc1,,,7.241088108
